Date,Name of State ,Total Confirmed cases,Death,Cured,New cases,New deaths,New recovered
6/1/2020,Andhra Pradesh,3679,62,2349,110,2,60
6/2/2020,Andhra Pradesh,3783,64,2378,104,2,29
6/3/2020,Andhra Pradesh,3898,64,2421,115,0,43
6/4/2020,Andhra Pradesh,4080,68,2466,182,4,45
6/5/2020,Andhra Pradesh,4223,71,2539,143,3,73
6/6/2020,Andhra Pradesh,4303,73,2576,80,2,37
6/7/2020,Andhra Pradesh,4510,73,2620,207,0,44
6/8/2020,Andhra Pradesh,4708,75,2682,198,2,62
6/9/2020,Andhra Pradesh,4851,75,2745,143,0,63
6/10/2020,Andhra Pradesh,5070,77,2802,219,2,57
6/11/2020,Andhra Pradesh,5269,78,2899,199,1,97
6/12/2020,Andhra Pradesh,5429,80,3048,160,2,149
6/13/2020,Andhra Pradesh,5680,80,3105,251,0,57
6/14/2020,Andhra Pradesh,5965,82,3195,285,2,90
6/15/2020,Andhra Pradesh,6163,84,3314,198,2,119
6/16/2020,Andhra Pradesh,6456,88,3316,293,4,2
6/17/2020,Andhra Pradesh,6841,88,3509,385,0,193
6/18/2020,Andhra Pradesh,7071,90,3641,230,2,132
6/19/2020,Andhra Pradesh,7518,92,3789,447,2,148
6/20/2020,Andhra Pradesh,7961,96,3917,443,4,128
6/21/2020,Andhra Pradesh,8452,101,4111,491,5,194
6/22/2020,Andhra Pradesh,106,4331,547,5,220
6/23/2020,Andhra Pradesh,9372,111,4495,373,5,164
6/24/2020,Andhra Pradesh,10002,119,4599,630,8,104
6/25/2020,Andhra Pradesh,10331,124,4779,329,5,180
6/27/2020,Andhra Pradesh,11489,148,5196,1158,24,417
6/28/2020,Andhra Pradesh,12285,157,5480,796,9,284
6/29/2020,Andhra Pradesh,13241,169,5908,956,12,428
6/30/2020,Andhra Pradesh,13891,180,6232,650,11,324
7/2/2020,Andhra Pradesh,15252,193,6988,1361,13,756
7/3/2020,Andhra Pradesh,16097,198,7313,845,5,325
7/5/2020,Andhra Pradesh,17699,218,8008,1602,20,695
7/7/2020,Andhra Pradesh,20019,239,8920,2320,21,912
7/8/2020,Andhra Pradesh,21197,252,9745,1178,13,825
7/9/2020,Andhra Pradesh,22259,264,11101,1062,12,1356
7/10/2020,Andhra Pradesh,277,12154,1555,13,1053
7/11/2020,Andhra Pradesh,292,13194,1608,15,1040
7/12/2020,Andhra Pradesh,309,14393,1813,17,1199
7/13/2020,Andhra Pradesh,328,15412,1933,19,1019
7/14/2020,Andhra Pradesh,31103,365,16464,1935,37,1052
7/15/2020,Andhra Pradesh,33019,408,17467,1916,43,1003
